,Name,Record,Nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
2033,Jack McGlaughlin,1-4-0,,--,--,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2034,Conor McGregor,22-4-0,The Notorious,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.43,49%,4.4,55%,0.75,62%,70%,0.0
2035,Greg McIntyre,6-4-0,,"5' 10""",155 lbs.,--,Orthodox,"Apr 21, 1980",0.79,30%,1.36,41%,5.09,50%,0%,0.0
2036,Antonio McKee,29-6-2,Mandingo,"5' 8""",155 lbs.,--,Southpaw,"Mar 12, 1970",1.37,45%,0.74,74%,1.47,33%,57%,0.0
2037,AJ McKee,8-0-0,Mercenary,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0
2038,Rhys McKee,10-4-1,Skeletor,"6' 2""",170 lbs.,"78""",Orthodox,"Sep 10, 1995",6.83,53%,11.9,43%,0.0,0%,20%,0.0
2039,Cory McKenna,6-1-0,The Hobbit,"5' 3""",115 lbs.,"58""",Orthodox,"Nov 07, 1999",3.47,44%,3.03,45%,0.5,50%,71%,0.0
2040,Tim McKenzie,14-9-0,,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 21, 1982",1.37,54%,2.96,44%,0.0,0%,28%,2.1
2041,Cody McKenzie,16-10-0,,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987",1.74,34%,2.5,67%,2.5,25%,14%,2.5
2042,Terrance McKinney,4-2-0,,"5' 11""",145 lbs.,"74""",Switch,"Sep 15, 1994",1.17,50%,0.59,66%,4.4,33%,0%,0.0
2043,Brian McLaughlin,6-2-0,,"5' 9""",155 lbs.,--,,"May 12, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2044,Jason McLean,6-7-0,,"5' 5""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2045,Garreth McLellan,13-6-0,Soldier Boy,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9
2046,Sara McMann,12-5-0,,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.39,46%,1.86,47%,4.51,63%,66%,0.6
2047,James McSweeney,15-15-0,The Hammer,"6' 4""",230 lbs.,"77""",Switch,"Oct 24, 1980",3.94,55%,4.33,42%,0.52,33%,100%,1.1
2048,Charles McTorry,3-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2049,Daniel McWilliams,15-37-0,The Animal,"6' 1""",185 lbs.,--,,--,3.36,77%,0.0,0%,0.0,0%,100%,21.6
2050,Tim Means,NC),The Dirty Bird,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.16,48%,3.58,61%,0.92,41%,64%,0.2
2051,Yancy Medeiros,NC),,"5' 10""",155 lbs.,"75""",Orthodox,"Sep 07, 1987",4.05,35%,5.38,46%,0.12,25%,76%,0.5
2052,Anistavio Medeiros,19-10-0,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,"May 01, 1988",3.64,44%,5.0,47%,0.0,0%,0%,0.0
2053,Kaline Medeiros,8-5-0,The Dark Angel,"5' 3""",115 lbs.,--,,--,2.06,70%,0.29,83%,4.41,100%,0%,4.4
2054,Uros Medic,6-0-0,The Doctor,"6' 1""",155 lbs.,"71""",Southpaw,"Apr 25, 1993",14.55,88%,0.91,83%,0.0,0%,0%,0.0
2055,Todd Medina,NC),El Tiburon,"5' 10""",193 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2056,Jason Medina,21-15-1,,"5' 9""",180 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2057,Emil Meek,NC),Valhalla,"5' 11""",170 lbs.,"74""",Switch,"Aug 20, 1988",2.52,39%,2.53,38%,0.25,33%,47%,1.0
2058,Sanford Alton Meeks,1-1-0,,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994",0.71,42%,4.47,38%,7.06,25%,0%,0.0
2059,Gerald Meerschaert,31-14-0,GM3,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.3,42%,3.61,51%,2.33,43%,46%,1.7
2060,Frank Megallon,2-3-0,,"5' 10""",185 lbs.,--,Southpaw,--,1.14,21%,5.32,54%,0.0,0%,0%,0.0
2061,Derrick Mehmen,19-9-0,Caveman,"6' 4""",205 lbs.,--,,"May 30, 1985",1.93,14%,4.53,48%,1.0,16%,0%,0.0
2062,Miika Mehmet,3-5-0,,--,205 lbs.,--,Orthodox,--,0.33,12%,7.29,24%,0.0,0%,0%,0.0
2063,Jordan Mein,31-12-0,Young Gun,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2
2064,Bryce Mejia,3-1-0,,"6' 1""",170 lbs.,--,,--,3.49,62%,6.98,50%,0.0,0%,0%,0.0
2065,Brian Melancon,7-3-0,,"5' 8""",170 lbs.,--,Orthodox,"May 28, 1982",4.18,49%,3.64,64%,2.02,100%,66%,0.0
2066,Brandon Melendez,25-25-0,The Murderer,"5' 11""",155 lbs.,--,Southpaw,"Mar 24, 1983",0.84,26%,0.56,63%,0.0,0%,25%,0.0
2067,Gilbert Melendez,22-8-0,El Nino,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2
2068,Marcelo Mello,1-0-0,,"5' 7""",170 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2069,Fabio Mello,11-8-0,,"5' 5""",155 lbs.,--,Southpaw,--,0.86,35%,3.94,50%,0.0,0%,0%,0.0
2070,Vanessa Melo,10-8-0,,"5' 5""",135 lbs.,"65""",Orthodox,"Mar 27, 1988",3.4,30%,7.2,53%,0.0,0%,69%,0.0
2071,Antonio Mendes,18-13-0,Samurai,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981",1.34,47%,6.85,22%,2.51,50%,100%,0.0
2072,Chad Mendes,18-5-0,Money,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3
2073,Augusto Mendes,6-2-0,Tanquinho,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0
2074,Eddie Mendez,NC),,"5' 10""",185 lbs.,--,,"Jan 16, 1984",1.71,33%,3.43,11%,0.0,0%,0%,0.0
2075,Luis Mendoza,0-1-0,,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2076,Pietro Menga,13-0-0,,"5' 7""",125 lbs.,"68""",Southpaw,"Feb 15, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2077,Alonzo Menifield,9-2-0,,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",3.34,47%,3.72,45%,0.0,0%,85%,0.0
2078,Ivan Menjivar,25-12-0,The Pride of El Salvador,"5' 6""",145 lbs.,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0
2079,Dave Menne,45-17-2,The Warrior,"5' 10""",170 lbs.,--,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5
2080,Steve Mensing,NC),The Machine,"5' 11""",185 lbs.,--,Orthodox,"Dec 06, 1977",0.0,0%,9.51,42%,0.0,0%,0%,0.0
2081,Buck Meredith,3-3-0,,"6' 2""",185 lbs.,--,,"May 17, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2082,Adam Meredith,5-3-0,,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9
2083,Joe Merritt,7-2-0,,"6' 0""",170 lbs.,--,Orthodox,"Mar 07, 1984",1.53,58%,0.73,66%,0.0,0%,68%,0.0
2084,Jeremiah Metcalf,13-7-0,,"6' 1""",185 lbs.,--,Orthodox,--,1.74,59%,0.27,60%,4.02,66%,100%,2.0
2085,Jonathan Meunier,8-1-0,District,"6' 3""",170 lbs.,--,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0
2086,Yaotzin Meza,NC),,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4
2087,Guy Mezger,30-14-2,,"6' 1""",200 lbs.,--,Orthodox,"Jan 01, 1968",2.3,32%,1.36,72%,0.39,50%,88%,0.0
2088,Brandon Michaels,4-14-0,,"5' 9""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2089,Andreas Michailidis,12-4-0,The Spartan,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 18, 1988",4.6,50%,3.6,63%,0.0,0%,0%,0.0
2090,David Michaud,11-3-0,BullDawg,"5' 9""",155 lbs.,--,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7
2091,Chris Mickle,NC),,"5' 9""",145 lbs.,--,Orthodox,"Jul 10, 1983",3.03,27%,9.7,48%,0.0,0%,0%,0.0
2092,Zachary Micklewright,15-3-0,,"6' 0""",155 lbs.,"74""",Southpaw,"Aug 21, 1976",5.56,53%,4.72,54%,0.7,12%,100%,0.0
2093,Kristof Midoux,6-10-0,The Hurricane,"6' 1""",220 lbs.,--,Orthodox,"Jul 30, 1974",0.7,43%,2.89,49%,0.0,0%,0%,0.0
2094,Keith Mielke,0-5-0,,"5' 8""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2095,Chris Mierzwiak,5-3-0,,"6' 1""",185 lbs.,--,,"Feb 14, 1988",1.6,61%,1.73,48%,2.0,28%,0%,1.0
2096,Gabriel Miglioli,9-9-0,Biel,"5' 8""",170 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2097,Bojan Mihajlovic,10-6-0,,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",1.23,35%,5.95,47%,0.0,0%,33%,0.0
2098,Billy Miles,2-2-0,The Kid,"5' 10""",170 lbs.,--,Orthodox,"Apr 28, 1978",0.0,0%,1.25,33%,0.0,0%,0%,0.0
2099,Pat Miletich,29-7-2,The Croatian Sensation,"5' 10""",170 lbs.,--,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0
2100,Curtis Millender,17-5-0,Curtious,"6' 2""",170 lbs.,"76""",Orthodox,"Dec 01, 1987",3.86,46%,2.95,61%,0.43,100%,57%,0.0
2101,Phillip Miller,16-0-0,,"5' 11""",185 lbs.,--,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6
2102,Jason Miller,NC),Mayhem,"6' 1""",185 lbs.,--,Orthodox,"Dec 24, 1980",1.83,43%,2.3,49%,1.31,28%,43%,1.3
2103,Dan Miller,NC),,"6' 1""",185 lbs.,"74""",Orthodox,"Jun 30, 1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8
2104,Jim Miller,NC),A-10,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.73,40%,2.99,59%,1.69,43%,46%,1.9
2105,Cole Miller,NC),Magrinho,"6' 1""",145 lbs.,"73""",Orthodox,"Apr 26, 1984",3.0,33%,3.88,59%,0.6,36%,38%,1.8
2106,Henry Miller,NC),Sentoryu,"5' 7""",270 lbs.,--,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0
2107,Micah Miller,NC),Maverick,"6' 0""",145 lbs.,--,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0
2108,Aaron Miller,NC),Blood Spiller,"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2109,Eddy Millis,0-2-0,,"6' 1""",185 lbs.,--,,--,0.0,0%,3.36,22%,0.0,0%,0%,7.2
2110,Che Mills,NC),Beautiful,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0
2111,Adam Milstead,8-4-0,The Prototype,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987",3.85,46%,4.79,43%,0.0,0%,64%,0.0
2112,Alberto Mina,13-1-0,Soldier of God,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.7,47%,1.85,20%,50%,0.0
2113,Vitaly Minakov,20-0-0,,"6' 2""",249 lbs.,--,,"Feb 06, 1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2114,Darrick Minner,25-11-0,,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",3.61,65%,2.0,45%,1.5,33%,50%,4.5
2115,Mike Minniger,0-0-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2116,Ikuhisa Minowa,60-42-8,Minowaman,"5' 9""",181 lbs.,--,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9
2117,Carlton Minus,NC),Clutch,"5' 10""",170 lbs.,"75""",Orthodox,"Apr 26, 1993",5.13,42%,7.87,49%,0.0,0%,0%,0.0
2118,Stipe Miocic,20-3-0,,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",4.9,52%,3.75,55%,1.92,34%,70%,0.0
2119,Frank Mir,18-11-0,,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0
2120,Juan Miranda,7-5-0,,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2121,Mario Miranda,14-7-0,,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,1.02,60%,54%,0.0
2122,Vitor Miranda,12-5-0,Lex Luthor,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2
2123,Damir Mirenic,9-4-0,Wolf,"6' 0""",185 lbs.,--,Orthodox,"Aug 02, 1974",0.84,50%,9.86,35%,0.0,0%,0%,0.0
2124,Kazuo Misaki,NC),Hitman,"5' 8""",183 lbs.,--,Orthodox,"Apr 25, 1976",2.85,40%,2.74,63%,0.72,38%,51%,0.6
2125,Toby Misech,9-5-0,2 Quick,"5' 8""",145 lbs.,--,Southpaw,"Mar 07, 1988",3.27,40%,7.73,46%,0.0,0%,0%,0.0
2126,Dokonjonosuke Mishima,21-7-2,,"5' 7""",155 lbs.,--,Southpaw,"Apr 19, 1972",1.06,41%,1.22,52%,2.47,40%,25%,1.4
2127,Felix Lee Mitchell,2-7-0,,--,--,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2128,David Mitchell,22-7-0,Daudi,"6' 0""",170 lbs.,"75""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0
2129,Danny Mitchell,19-9-1,The Cheesecake Assassin,"6' 2""",170 lbs.,--,Orthodox,"Aug 08, 1986",2.53,49%,2.53,52%,0.0,0%,100%,3.0
2130,Brad Mitchell,NC),,"5' 11""",145 lbs.,--,,"Oct 10, 1974",1.15,33%,4.2,52%,0.0,0%,100%,1.9
2131,Clay Mitchell,1-2-0,,"6' 2""",185 lbs.,--,,--,1.63,85%,0.0,0%,0.0,0%,100%,4.1
2132,Bryce Mitchell,14-1-0,Thug Nasty,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.29,61%,1.46,60%,3.26,46%,33%,2.3
2133,Maurice Mitchell,11-2-0,The AK Kid,"5' 9""",145 lbs.,--,Orthodox,"Jun 29, 1987",3.8,55%,3.54,60%,0.0,0%,100%,0.0
2134,Roman Mitichyan,8-3-0,,"5' 10""",170 lbs.,--,Orthodox,"Sep 04, 1978",0.26,16%,2.7,43%,1.93,100%,25%,1.9
2135,Matt Mitrione,12-5-0,,"6' 3""",265 lbs.,"82""",Switch,"Jul 15, 1978",3.55,50%,2.79,64%,0.0,0%,55%,0.7
2136,Eiji Mitsuoka,18-9-2,,"5' 7""",145 lbs.,--,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,2.3,36%,20%,1.6
2137,Hiromitsu Miura,12-7-0,,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6
2138,Jonathan  Mix,7-4-0,,"6' 0""",168 lbs.,--,,"Nov 09, 1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2139,Tomoya Miyashita,17-9-7,,"5' 7""",139 lbs.,--,Southpaw,--,1.67,65%,0.93,33%,4.0,80%,0%,2.0
2140,Kazuyuki Miyata,15-9-0,,"5' 8""",139 lbs.,--,Orthodox,--,2.04,52%,1.82,63%,4.31,46%,68%,0.0
2141,Motoki Miyazawa,7-3-0,,"5' 11""",168 lbs.,--,Southpaw,--,1.23,28%,3.91,61%,0.0,0%,0%,0.0
2142,Takeya Mizugaki,21-11-2,,"5' 7""",135 lbs.,"69""",Orthodox,"Dec 16, 1983",3.37,37%,3.27,57%,1.46,57%,70%,0.1
2143,Tatsuya Mizuno,16-12-1,,"6' 1""",205 lbs.,--,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6
2144,Roxanne Modafferi,25-18-0,The Happy Warrior,"5' 7""",125 lbs.,"69""",Orthodox,"Sep 24, 1982",3.14,31%,4.96,53%,1.55,25%,36%,0.1
2145,Bobby Moffett,NC),The Wolfman,"5' 10""",145 lbs.,"73""",Orthodox,"Jun 01, 1990",3.41,39%,3.15,61%,2.74,66%,66%,1.4
2146,Bronson Mohika,1-1-0,,--,135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2147,Nate Mohr,9-7-0,,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.5,74%,0.45,50%,71%,0.0
2148,Renato Moicano,14-4-1,,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",5.4,46%,3.74,65%,1.28,53%,78%,0.6
2149,Thiago Moises,14-4-0,,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 23, 1995",2.71,41%,4.0,55%,1.29,35%,63%,1.5
2150,Ashkan Mokhtarian,13-3-0,The Assassin,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,0.54,16%,33%,0.0
2151,Suman Mokhtarian,8-5-0,,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.0,0%,0%,0.0
2152,Dan Molina,13-9-0,,"5' 10""",216 lbs.,--,,"Jun 14, 1984",0.0,0%,5.58,60%,0.0,0%,0%,20.9
2153,Jeff Molina,8-2-0,El Jefe,"5' 6""",125 lbs.,"69""",Orthodox,"Jul 17, 1997",5.07,38%,5.53,55%,0.0,0%,0%,0.0
2154,Rudyard Moncayo,0-3-0,,"5' 10""",195 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2155,Hidetaka Monma,18-11-4,,"6' 0""",168 lbs.,--,Orthodox,"Oct 23, 1973",1.67,25%,9.76,34%,0.0,0%,0%,0.0
2156,Jeff Monson,60-26-1,The Snowman,"5' 9""",247 lbs.,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
2157,Darrell Montague,13-5-0,Mongoose,"5' 6""",125 lbs.,"67""",Southpaw,"Nov 03, 1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4
2158,Andrew Montanez,9-12-1,,--,185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2159,Augusto Montano,15-3-0,Dodger,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984",3.46,46%,2.66,56%,0.0,0%,66%,0.0
2160,Erick Montano,7-5-0,Perry,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,2.29,36%,66%,0.0
2161,Nicco Montano,5-3-0,,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.6,41%,4.43,64%,2.25,54%,69%,0.4
2162,Alberto Montes,4-0-0,The Promise,"5' 7""",135 lbs.,--,,"May 31, 1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2163,Steve Montgomery,9-5-0,The Creepy Weasel,"6' 4""",185 lbs.,--,Southpaw,"Dec 19, 1990",4.85,39%,4.12,47%,0.0,0%,64%,0.0
2164,James Moontasri,9-5-0,Moon Walker,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,0.0,0%,79%,0.2
2165,Homer Moore,26-9-2,The Rock,"5' 10""",205 lbs.,--,Orthodox,"Nov 27, 1971",0.68,50%,0.68,0%,5.07,66%,0%,0.0
2166,Todd Moore,16-7-0,,"5' 9""",170 lbs.,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.3,57%,0.78,14%,54%,0.0
2167,Nate Moore,8-4-0,,"6' 0""",170 lbs.,--,,--,2.21,25%,2.87,42%,1.23,16%,25%,0.0
2168,Dustin Moore,0-2-0,,"5' 4""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2169,Taylor Moore,10-5-0,,"5' 10""",135 lbs.,"70""",Southpaw,"Oct 16, 1993",0.2,75%,2.07,42%,0.0,0%,25%,0.0
2170,Sergio Moraes,14-6-1,The Panther,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.2,38%,75%,0.4
2171,Marlon Moraes,23-7-1,Magic,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.43,38%,3.91,58%,0.64,33%,66%,0.4
2172,Sheymon Moraes,11-4-0,,"5' 8""",145 lbs.,"72""",Orthodox,"Oct 11, 1990",3.0,42%,3.64,63%,0.0,0%,53%,0.0
2173,John Moraga,19-7-0,,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1
2174,Ricardo Morais,10-4-1,The Mutant,"6' 8""",270 lbs.,--,Orthodox,"Feb 26, 1967",2.86,37%,2.39,53%,0.0,0%,0%,0.0
2175,Leonardo Morales,6-2-0,Chimy,"5' 8""",135 lbs.,--,Southpaw,"Dec 22, 1992",2.05,47%,2.05,58%,0.0,0%,62%,0.0
2176,Albert Morales,7-4-1,The Warrior,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2
2177,Joseph Morales,9-2-0,,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",1.58,37%,1.72,60%,0.53,50%,23%,2.6
2178,Vince Morales,9-5-0,Vandetta,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 12, 1990",4.22,39%,4.16,53%,0.0,0%,55%,0.0
2179,Omar Morales,10-1-0,Venezuelan Fighter,"5' 11""",145 lbs.,"73""",Orthodox,"Oct 17, 1985",3.39,34%,2.99,65%,0.29,100%,100%,0.0
2180,Sarah Moras,6-7-0,Cheesecake,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.18,38%,3.55,46%,0.77,22%,33%,0.9
2181,Christian Morecraft,8-3-0,,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2
2182,Joe Moreira,2-2-0,,"5' 11""",195 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2183,Richardson Moreira,7-4-0,Rick Monstro,"6' 2""",185 lbs.,--,Orthodox,"Mar 31, 1984",1.17,28%,1.83,67%,0.0,0%,100%,0.0
2184,Gisele Moreira,8-3-0,,"5' 6""",135 lbs.,--,Orthodox,"Jan 14, 1981",5.93,42%,6.33,48%,4.0,57%,0%,0.0
2185,Vinicius Moreira,9-4-0,Mamute,"6' 4""",205 lbs.,"76""",Orthodox,"Feb 28, 1989",2.79,60%,5.34,37%,2.61,18%,0%,1.7
2186,Jesse Moreng,9-1-0,Arturo,"5' 7""",145 lbs.,--,Orthodox,"Nov 09, 1979",1.26,40%,2.08,48%,5.56,100%,100%,0.0
2187,Brandon Moreno,18-5-2,The Assassin Baby,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993",3.41,38%,3.41,59%,2.01,45%,67%,0.6
2188,Mike Moreno,6-5-0,El Palo Duro,"6' 0""",185 lbs.,--,,--,1.27,51%,1.07,58%,0.0,0%,44%,0.0
2189,Dan Moret,13-6-0,The Hitman,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4
2190,Sammy Morgan,18-12-0,The Squeeze,"5' 10""",170 lbs.,--,Orthodox,"Sep 28, 1981",1.05,22%,3.74,40%,1.43,20%,0%,0.5
2191,Peggy Morgan,4-4-0,The Daywalker,"6' 1""",135 lbs.,--,,"Dec 16, 1979",2.27,23%,8.2,33%,0.0,0%,50%,0.0
2192,Alex Morono,NC),The Great White,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",5.32,43%,3.74,58%,0.37,33%,45%,0.5
2193,Maryna Moroz,10-3-0,Iron Lady,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",4.09,31%,4.15,53%,0.56,18%,47%,0.4
2194,Sergey Morozov,16-4-0,,"5' 6""",135 lbs.,--,,"Jun 14, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0
2195,Brad Morris,10-6-0,,"6' 2""",205 lbs.,--,Orthodox,"Nov 01, 1979",0.5,62%,6.95,27%,0.0,0%,0%,0.0
2196,Scott Morris,2-1-0,,"5' 10""",210 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2197,Anthony Morrison,NC),Cheesesteak,"5' 7""",145 lbs.,--,Orthodox,"Mar 29, 1984",1.7,33%,0.49,80%,0.0,0%,50%,0.0
2198,Jack Morrison,0-3-0,,"5' 11""",205 lbs.,--,,--,0.0,0%,19.31,40%,0.0,0%,0%,0.0
2199,Harry Moskowitz,6-12-0,Dirty,"6' 5""",275 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2200,Juan Mott,3-4-0,,"6' 0""",190 lbs.,--,Switch,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
2201,Nikolas Motta,12-3-0,Iron,"5' 9""",155 lbs.,"70""",Orthodox,"Feb 08, 1993",2.8,27%,3.6,66%,0.0,0%,100%,0.0
2202,Flavio Luiz Moura,19-7-0,,"5' 11""",183 lbs.,--,Open Stance,--,0.67,16%,0.0,0%,0.0,0%,0%,0.0
2203,Gegard Mousasi,42-6-2,,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,50%,1.21,68%,1.59,60%,59%,1.1
2204,Kin Moy,8-3-0,Kong,"5' 5""",135 lbs.,--,,--,2.3,33%,1.93,62%,1.67,42%,50%,1.7
2205,Jamie Moyle,4-3-0,,"5' 1""",115 lbs.,"65""",Orthodox,"Mar 17, 1989",4.51,51%,4.0,65%,1.0,21%,50%,0.0
2206,Su Mudaerji,13-4-0,The Tibetan Eagle,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",5.25,58%,2.41,60%,0.66,100%,75%,1.3
2207,Garrett Mueller,3-3-0,,"5' 9""",135 lbs.,--,,"Jan 29, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0
